Start Position,End Position
1,"[2, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 17, 0, 0, 1, 0]"
2,"[0, 3, 1, 1, 0, 2, 6, 1, 0, 20, 14, 8, 0, 21, 1]"
3,"[1, 11, 15, 1, 17, 0, 1, 0, 1, 1, 1, 2, 7, 0, 3, 3, 2, 13, 1, 0, 6, 0, 2, 4, 21, 0, 7, 2, 2]"
4,"[3, 15, 1, 0, 1, 4, 2, 1, 2, 15, 0, 3, 1, 7, 2, 4, 1, 1, 1, 2, 2, 3, 4, 6]"
5,"[17, 2, 16, 2, 2, 1, 4, 0, 10, 2, 2, 3, 5, 6, 2, 2, 3, 1, 1, 3, 2, 21, 2, 1, 1, 0, 4, 1, 5, 4, 2, 3, 1, 3, 21, 15]"
6,"[14, 3, 4, 3, 0, 10, 10, 3, 5, 3, 1, 4, 4, 22, 1, 6, 1, 4, 5, 7, 5]"
7,"[17, 1, 4, 7, 5, 9, 3, 7, 2, 1, 1, 5, 5, 4, 20, 5, 6, 11, 5, 19, 6, 15]"
8,"[5, 4, 3, 17, 3, 3, 3, 3, 4, 9, 5, 4, 3, 0, 3, 3, 10, 5, 8, 16, 16, 7, 5, 8, 8]"
9,"[15, 10, 6, 8, 6, 2, 1, 8, 10, 4, 12, 6, 9, 18, 7, 4, 5, 18]"
10,"[6, 2, 18, 6, 9, 5, 13, 19, 20, 2, 4, 18, 10, 9, 17, 10, 4, 16, 7, 16]"
11,"[4, 3, 0, 20, 11, 12, 8, 15, 7, 6, 7]"
12,"[19, 6, 7, 4, 16, 10, 13, 4, 13, 15, 18, 6, 19, 10, 8, 8]"
13,"[2, 14, 19, 18, 19, 18, 11, 15, 6, 6, 7, 18, 19, 7, 12]"
14,"[10, 5, 17, 17, 18, 9]"
15,"[14, 0, 13, 4, 15, 13, 19, 10, 9]"
16,"[5, 9, 2, 9, 5, 17, 16, 15, 13]"
17,"[20, 9, 16, 12]"
18,"[21, 12, 14, 12, 17, 10, 17, 11, 19, 9, 13]"
19,"[11, 18, 15, 6, 12, 19, 10, 8, 16, 17]"
20,"[21, 7, 12, 15, 17, 10, 7]"
21,"[12, 13, 16, 15, 9, 12]"
22,"[18, 6, 6]"
23,[]
24,[5]
